"Gestao2_MUNICIPAL"	"Gestao2_MUNICIPAL.SP"	"logPropLeitosSUS"	"Percent_SUS_Total"	"Porte_MEDIO"	"Porte_PEQUENO"	"TipoGestao2_Direta"	"TipoGestao2_Santa.Casa"	"TipoGestao2_Terceirizada"	"Total_Leitos"
0	0	1.61169392791123	-0.0140309075478708	0	0	1	0	0	7.08573184983812
0	0	1.99563519459755	0	1	0	1	0	0	6.18044684762751
0	0	1.99563519459755	0	0	0	0	0	1	7.52331486987057
0	0	1.99563519459755	0	1	0	1	0	0	6.16724363606683
0	0	1.99563519459755	0	0	0	0	0	1	8.70750760050024
0	0	1.99563519459755	0	0	0	0	0	1	7.75317519611968
0	0	1.99563519459755	0	0	1	1	0	0	4.66478780211682
0	0	1.99563519459755	0	0	1	1	0	0	2.70981615210141
1	0	1.99563519459755	0	1	0	1	0	0	5.29360270645222
1	0	0.925672327095393	-0.0923106623145554	1	0	1	0	0	4.81688866607121
0	0	1.99563519459755	0	0	0	1	0	0	7.44472191299931
0	0	1.99563519459755	0	0	0	1	0	0	7.6294920673124
1	0	1.68086408191819	-0.0105704421051139	1	0	1	0	0	5.75116878706807
1	0	0.744717142103885	-0.132887208294985	1	0	1	0	0	4.9291908154244
1	0	0.344368012101243	-0.252133823309663	1	0	1	0	0	4.84568818021908
0	1	1.54855691616748	-0.0176660449149465	0	0	1	0	0	8.16889883261501
0	1	1.04945244089627	-0.0701784970455022	0	0	1	0	0	7.84246178534354
0	1	0.634881113431629	-0.162233260562857	0	0	0	0	1	7.91741850846513
0	1	0.895724572477601	-0.098340488436808	0	0	1	0	0	7.60502326447742
0	1	1.99563519459755	0	0	0	0	0	1	7.02013563689022
0	1	1.99563519459755	0	0	0	1	0	0	6.9864646463425
0	1	1.99563519459755	0	0	0	1	0	0	6.9172638514936
0	1	1.13933142620016	-0.0567556443794523	0	0	1	0	0	7.02013563689022
0	1	0.643061596331977	-0.159933950396177	0	0	1	0	0	7.13348265920714
0	1	0.787807069767064	-0.122325328029771	1	0	1	0	0	6.24504792712473
0	1	0.843931365083217	-0.109409295138595	1	0	0	0	1	5.59343852873422
0	1	0.916941098889173	-0.0940408302216403	1	0	1	0	0	5.49918987548339
0	1	0.843931365083217	-0.109409295138595	1	0	1	0	0	5.24933451150902
0	1	0.678448337191417	-0.150191760100181	1	0	0	0	1	5.05965854614924
0	1	1.99563519459755	0	0	1	1	0	0	4.7273335753469
0	1	0.678448337191417	-0.150191760100181	1	0	1	0	0	4.90182215342448
0	1	-1.04781564378623	-0.453080577830931	0	0	1	0	0	6.89955854871581
0	1	1.99563519459755	0	0	1	0	0	1	2.70981615210141
0	1	1.99563519459755	0	0	1	0	0	1	2.31144413344917
0	1	1.99563519459755	0	0	1	0	0	1	2.31144413344917
0	1	1.99563519459755	0	0	1	0	0	1	1.96231198851316
0	1	1.99563519459755	0	0	1	0	0	1	1.74618943088019
0	1	1.99563519459755	0	0	1	0	0	1	1.48698354997035
0	1	1.99563519459755	0	0	1	0	0	1	1.48698354997035
0	1	0.938390586168136	-0.0898311536567438	1	0	0	0	1	5.92644807116685
0	1	1.99563519459755	0	0	1	0	0	1	3.02005454317468
0	1	1.99563519459755	0	0	1	0	0	1	2.31144413344917
0	1	1.99563519459755	0	0	1	0	0	1	2.14814044039067
0	1	1.99563519459755	0	0	1	0	0	1	2.14814044039067
0	1	1.99563519459755	0	0	1	0	0	1	1.96231198851316
0	1	1.99563519459755	0	0	1	0	0	1	1.74618943088019
0	1	1.99563519459755	0	0	1	0	0	1	1.74618943088019
0	1	0.694613618838413	-0.145855171993857	0	0	0	0	1	6.86363891200601
0	1	0.757201060438013	-0.129770211797828	0	0	0	0	1	7.34881018237916
0	1	0.919143462985008	-0.0936022601619446	0	0	0	0	1	6.99493882918871
0	1	0.984000344077114	-0.0813317576573014	0	0	0	0	1	7.3347111130986
0	1	0.802594485049441	-0.118829414658655	0	0	0	0	1	7.51688546816994
0	1	0.648461218517338	-0.15842580254163	1	0	0	0	1	6.04382234508932
0	1	0.124815759265866	-0.321128860204405	1	0	0	0	1	5.89584877519623
0	1	1.99563519459755	0	1	0	0	0	1	5.3788256009247
1	0	1.25344726293487	-0.0425725732855426	0	0	1	0	0	6.83624003879021
1	0	0.960611866029901	-0.0856140345824517	0	0	0	0	1	7.15691609466074
1	0	1.99563519459755	0	0	1	0	0	1	4.59974490623364
0	1	0.753327666658611	-0.13073237866938	0	0	0	0	1	7.06954439513897
1	0	1.99563519459755	0	1	0	0	0	1	6.27025408746089
1	0	0.345880318060746	-0.251643614793323	1	0	0	1	0	5.86470998478722
1	0	1.99563519459755	0	0	1	0	0	0	3.74108810316638
1	0	0.388860350820119	-0.237727301449798	0	1	0	0	1	4.53198460282269
1	0	0.367211103710678	-0.244731214597952	1	0	0	0	1	4.90182215342448
1	0	1.10230976879882	-0.0620296139077199	0	1	0	0	1	4.09730738355542
1	0	0.775393815838455	-0.125310950406997	0	1	0	0	0	3.62204366553744
1	0	0.916941098889173	-0.0940408302216403	0	1	0	1	0	3.49282847673564
1	0	1.7376387075819	-0.00809044389804956	1	0	0	0	1	6.18044684762751
1	0	0.268315135236071	-0.276692487600292	1	0	0	0	1	6.43751829517228
1	0	-0.882223251940257	-0.451140859152331	1	0	0	0	1	6.0151974671949
0	0	1.99563519459755	0	1	0	0	0	1	5.71733040003475
1	0	0.147961310331861	-0.314237123899079	0	0	0	0	1	7.52331486987057
1	0	0.609281015500905	-0.169538388032983	1	0	0	1	0	5.24933451150902
1	0	-0.690062321874807	-0.446167029187879	0	1	0	0	1	4.56621934766157
0	0	0.448282263903478	-0.218656656438655	1	0	0	1	0	6.24504792712473
1	0	1.18296548142919	-0.0509754234191864	1	0	0	0	1	4.98261036790351
0	0	0.51703051063031	-0.197104034234727	1	0	0	1	0	5.86470998478722
1	0	1.06069784035361	-0.0683821379854556	0	1	0	1	0	3.02005454317468
1	0	1.05324177510629	-0.0695693358120723	1	0	0	0	1	4.9291908154244
0	0	0.601895504532108	-0.171675870370059	0	0	0	1	0	7.8587638270152
1	0	1.99563519459755	0	1	0	0	0	1	5.10911994691164
1	0	1.99563519459755	0	0	1	0	0	1	1.74618943088019
1	0	1.99563519459755	0	0	1	0	0	0	1.96231198851316
1	0	0.724062383374018	-0.138145113297421	0	0	0	1	0	6.90843205723635
1	0	1.0665484761066	-0.0674611070040078	1	0	0	0	1	5.31531151660001
1	0	1.99563519459755	0	1	0	0	0	1	5.13331440538915
1	0	1.99563519459755	0	0	1	0	0	1	4.66478780211682
1	0	0.297988754879708	-0.267145555011861	0	0	0	0	1	6.84541762467219
0	0	-0.0197991769548379	-0.360610081306737	0	0	0	0	1	7.1097571749385
1	0	-0.0532677532397843	-0.368713671052205	0	1	0	1	0	4.14213562373096
1	0	1.99563519459755	0	0	1	0	0	1	2.82088853986816
1	0	1.99563519459755	0	0	1	0	0	1	4.4246890755463
0	0	1.99563519459755	0	1	0	0	0	1	6.19355380137767
1	0	0.181813271761597	-0.303935164163041	1	0	0	1	0	6.05796419184011
1	0	1.99563519459755	0	1	0	0	1	0	5.08457169466384
1	0	0.574218827429146	-0.179799612583054	0	1	0	1	0	4.59974490623364
1	0	0.497139725354552	-0.203266310188733	0	0	0	1	0	6.9779522435121
1	0	0.585953282057943	-0.176333818242898	1	0	0	1	0	5.1806838442876
1	0	0.176091259055681	-0.30569355600021	1	0	0	0	1	5.81694511320327
0	0	1.99563519459755	0	0	0	0	0	1	7.23301230000277
1	0	0.583984623921389	-0.176913096516837	0	0	0	1	0	7.46467035210727
0	0	1.99563519459755	0	0	1	0	0	1	4.46125549591926
0	0	1.99563519459755	0	0	1	0	0	1	2.58925411794168
1	0	1.99563519459755	0	0	0	0	0	1	7.70111788148561
1	0	1.99563519459755	0	1	0	0	0	0	5.0343688581424
1	0	0.503783077265955	-0.201200769244896	0	1	0	0	1	4.05115826483647
1	0	0.502123523689718	-0.201716078190021	1	0	0	0	1	6.4029481190582
0	0	1.24339557194777	-0.0437036813980197	0	0	0	0	1	7.88029363753986
0	0	1.99563519459755	0	0	0	0	0	1	6.76114969720354
0	0	1.99563519459755	0	1	0	0	0	1	5.70016220211395
0	0	1.3309703005221	-0.0345484839764213	1	0	0	0	1	5.59343852873422
0	0	1.99563519459755	0	1	0	0	0	1	4.9291908154244
0	0	0.294531702627064	-0.268261027983489	0	1	0	0	1	4.05115826483647
1	0	1.99563519459755	0	1	0	0	0	0	4.81688866607121
0	0	1.99563519459755	0	0	1	0	0	1	3.49282847673564
1	0	1.99563519459755	0	0	1	0	1	0	3.95454894014973
1	0	1.99563519459755	0	0	1	0	0	1	4.75773161594553
1	0	1.41272376001309	-0.0273156769648854	0	1	0	0	1	4.30969081105257
1	0	0.242135044933192	-0.285047716409226	1	0	0	1	0	6.1270412256128
1	0	1.11511395808808	-0.0601661405248273	0	1	0	1	0	3.19507910772895
1	0	1.99563519459755	0	0	1	0	1	0	3.35141362540314
1	0	0.405398801375146	-0.232391942708346	1	0	0	0	1	4.90182215342448
1	0	0.199890336340185	-0.298338661807625	0	1	0	0	1	3.85151685421243
