"CNES"	"Gestao2_MUNICIPAL"	"Gestao2_MUNICIPAL.SP"	"Percent_SUS_classe_Alto"	"Percent_SUS_classe_Medio"	"Porte_Grande"	"Porte_Medio"	"TipoGestao2_Direta"	"TipoGestao2_Santa.Casa"	"TipoGestao2_Terceirizada"
"7496117"	0	0	1	0	0	0	0	0	1
"2081245"	1	0	0	1	0	0	0	1	0
"2083981"	0	0	1	0	1	0	0	0	1
"2079860"	1	0	0	1	0	1	0	1	0
"2079399"	1	0	0	0	0	0	0	1	0
"2079828"	0	0	1	0	1	0	0	0	1
"2785188"	1	0	1	0	0	1	0	0	1
"2082934"	1	0	0	1	0	0	0	1	0
"2749149"	1	0	0	1	0	0	0	1	0
"2079356"	0	0	0	0	0	1	0	1	0
"2081598"	1	0	0	1	0	0	0	1	0
"2078295"	1	0	0	0	0	1	0	1	0
"2747308"	1	0	0	1	0	0	0	0	1
"2079879"	1	0	0	0	0	0	0	1	0
"2079135"	1	0	0	1	0	1	0	1	0
"3126838"	0	0	0	1	1	0	0	0	1
"2749319"	1	0	1	0	1	0	0	0	1
"2855917"	0	0	1	0	0	0	0	0	1
"2028239"	1	0	0	1	0	1	0	0	1
"2083213"	1	0	0	1	0	0	0	0	1
"2080087"	1	0	0	0	0	1	0	1	0
"2080605"	1	0	0	0	0	0	0	0	1
"2084074"	1	0	0	0	0	0	0	0	1
"2082454"	0	0	1	0	1	0	0	0	1
"2080664"	0	0	0	1	1	0	0	1	0
"2081385"	1	0	0	0	0	0	0	1	0
"2702193"	1	0	0	1	0	1	0	1	0
"2079968"	1	0	0	1	0	0	0	1	0
"2081342"	1	0	0	0	0	0	0	0	1
"2097877"	1	0	0	0	0	1	0	1	0
"2081105"	1	0	0	0	0	1	0	1	0
"2081903"	1	0	0	0	0	0	0	0	1
"3949621"	1	0	0	1	0	0	0	0	1
"2699915"	1	0	0	0	0	1	0	1	0
"2092093"	1	0	0	0	0	0	0	0	1
"2087618"	1	0	0	1	0	1	0	0	1
"2081377"	0	0	0	0	1	0	0	1	0
