"CNES"	"Gestao2_MUNICIPAL"	"Gestao2_MUNICIPAL.SP"	"Percent_SUS_classe_Alto"	"Percent_SUS_classe_Medio"	"Porte_Grande"	"Porte_Medio"	"TipoGestao2_Direta"	"TipoGestao2_Santa.Casa"	"TipoGestao2_Terceirizada"
"2791676"	1	0	0	1	0	1	0	1	0
"2082632"	1	0	0	0	0	1	0	0	1
"2090236"	0	0	1	0	1	0	0	0	1
"2092611"	1	0	0	1	1	0	0	1	0
"5033543"	0	0	1	0	0	0	0	0	1
"6289304"	0	0	1	0	0	0	0	0	1
"6095666"	1	0	1	0	1	0	0	0	1
"0127604"	1	0	1	0	0	1	0	0	0
"2092980"	1	0	0	1	0	0	0	0	1
"2082853"	1	0	0	1	0	1	0	0	1
"2790602"	0	0	0	1	1	0	0	0	1
"2790556"	0	0	1	0	1	0	0	0	1
"2790564"	0	0	1	0	0	1	0	0	1
"2790580"	0	0	0	1	0	1	0	0	1
"2058332"	0	0	1	0	0	1	0	0	1
"3880966"	0	0	0	0	0	0	0	0	1
"2082381"	1	0	1	0	0	1	0	0	0
"3058808"	0	0	1	0	0	0	0	0	1
"2082497"	1	0	1	0	0	0	0	1	0
"2083272"	1	0	1	0	0	0	0	0	1
"2080915"	1	0	0	1	0	0	0	0	1
"2078252"	1	0	0	0	0	1	0	1	0
"2079402"	1	0	0	1	0	0	0	1	0
"2791730"	1	0	1	0	0	0	0	1	0
"2081261"	1	0	0	1	0	1	0	0	1
"2081989"	1	0	0	0	0	0	0	0	1
"2748223"	0	0	0	1	1	0	0	0	1
"2704900"	0	0	0	0	1	0	0	0	1
"2688433"	1	0	0	0	0	1	0	1	0
"2081784"	1	0	0	1	0	0	0	0	1
"2079461"	1	0	0	1	0	0	0	1	0
"2079313"	1	0	0	1	0	0	0	0	1
"2024756"	1	0	0	1	0	1	0	0	1
"2024772"	1	0	1	0	0	0	0	1	0
"2080222"	0	0	1	0	0	1	0	1	0
"2791684"	1	0	0	1	0	0	0	1	0
"2096196"	1	0	0	1	0	1	0	0	1
"2081296"	1	0	0	0	0	0	0	0	1
"2023016"	1	0	0	1	0	1	0	0	1
"6053858"	1	0	1	0	1	0	0	0	1
"2082128"	1	0	0	0	1	0	0	0	1
"2081490"	1	0	1	0	1	0	0	0	1
"2022621"	1	0	0	0	1	0	0	0	1
"2081482"	0	0	0	1	0	1	0	0	1
"2078465"	1	0	0	0	0	1	0	0	1
"2022648"	1	0	0	0	0	1	0	1	0
"2084252"	0	0	1	0	0	0	0	0	1
"2023350"	1	0	1	0	0	0	0	0	0
"2087219"	1	0	1	0	0	1	0	0	1
"3753433"	0	0	0	1	0	1	0	0	1
"7947984"	1	0	1	0	0	0	0	0	0
"2080842"	1	0	0	1	0	0	0	1	0
"2079097"	1	0	0	1	0	1	0	1	0
"2748568"	1	0	0	1	0	1	0	1	0
"0092894"	0	0	1	0	1	0	0	0	1
"2082926"	1	0	0	1	1	0	0	0	1
"6233848"	0	0	1	0	0	0	0	0	1
"2792168"	0	0	1	0	1	0	0	0	1
"2082071"	0	0	0	0	0	0	0	1	0
"2749033"	0	0	0	1	1	0	0	0	1
"2082306"	1	0	0	1	0	0	0	1	0
"2079216"	1	0	0	1	0	0	0	0	1
"2089335"	0	0	0	1	1	0	0	0	1
"2089327"	0	0	0	0	1	0	0	0	1
"2058626"	1	0	0	1	1	0	0	0	1
"2090333"	1	0	0	1	0	0	0	1	0
"2751569"	1	0	0	0	0	0	0	1	0
"2082780"	1	0	0	1	0	0	0	0	1
"2748436"	1	0	0	1	0	0	0	0	1
"2082438"	0	0	0	0	0	1	0	1	0
"2080982"	0	0	0	1	0	0	0	0	1
"2095912"	1	0	0	1	0	1	0	0	1
"2084430"	1	0	0	1	0	0	0	0	1
"7210094"	1	0	0	1	0	0	0	0	0
"9639659"	1	0	0	0	0	1	0	1	0
"2792141"	0	0	1	0	1	0	0	0	1
"2079496"	1	0	0	1	0	0	0	1	0
"2024691"	1	0	0	1	0	1	0	1	0
"2078473"	1	0	1	0	0	1	0	0	1
"2079518"	1	0	0	0	0	0	0	1	0
"2081717"	1	0	0	1	0	0	0	1	0
"2084163"	0	0	1	0	1	0	0	0	1
"2080028"	1	0	0	1	1	0	0	0	0
"5851084"	1	0	1	0	0	0	0	0	0
"2801043"	1	0	1	0	0	0	0	0	0
"2082810"	0	0	1	0	1	0	0	0	1
"2791692"	1	0	0	1	0	1	0	1	0
"9329080"	1	0	1	0	0	0	0	0	0
"2750988"	1	0	0	1	1	0	0	1	0
"2790637"	1	0	0	1	0	1	0	0	1
"2079011"	1	0	1	0	0	1	0	0	1
"2077078"	1	0	1	0	0	0	0	0	0
"2084384"	0	0	1	0	1	0	0	0	1
"2751623"	1	0	0	0	0	1	0	0	1
"2080966"	1	0	0	1	0	0	0	1	0
"2093324"	0	0	0	1	0	1	0	1	0
"2080079"	0	0	0	1	1	0	0	0	1
"2092638"	1	0	0	0	0	0	0	1	0
"2745402"	0	0	0	0	0	0	0	1	0
"2705982"	0	0	0	1	1	0	0	1	0
"2080117"	1	0	1	0	0	1	0	0	1
"3028399"	0	0	0	1	0	1	0	0	1
"2083876"	1	0	1	0	0	1	0	1	0
"6878687"	0	0	0	1	1	0	0	0	1
"2080737"	1	0	0	0	0	0	0	0	1
"2745356"	0	0	0	1	1	0	0	0	1
"9680500"	1	0	0	1	0	1	0	1	0
"2081652"	1	0	0	0	0	0	0	1	0
"2791706"	1	0	0	1	0	0	0	1	0
"2078414"	1	0	0	0	0	1	0	1	0
"2083973"	1	0	0	1	0	1	0	1	0
"2081520"	1	0	0	0	0	0	0	0	1
"2081814"	1	0	0	0	0	1	0	1	0
"2773333"	1	0	0	1	0	0	0	1	0
"2081512"	1	0	0	1	0	1	0	1	0
"2081644"	0	0	0	0	1	0	0	0	1
"2026805"	1	0	0	1	0	1	0	1	0
"2754843"	1	0	1	0	1	0	0	0	1
"7544529"	0	0	1	0	0	0	0	0	1
"2081504"	1	0	1	0	0	0	0	0	0
"2082276"	0	0	1	0	1	0	0	0	1
"2080338"	0	0	1	0	1	0	0	0	1
"5200105"	1	0	1	0	1	0	0	0	1
"2040069"	1	0	1	0	0	1	0	0	1
"2082861"	1	0	1	0	0	1	0	0	1
"2080427"	1	0	1	0	0	1	0	0	1
"2078155"	1	0	0	0	0	1	0	0	1
"2080281"	0	0	1	0	0	1	0	0	1
"2087715"	1	0	0	1	0	1	0	0	1
"2092395"	1	0	1	0	0	0	0	0	0
"2082551"	1	0	0	0	0	0	0	1	0
"2082640"	1	0	0	0	0	1	0	1	0
"2079615"	1	0	1	0	0	1	0	0	1
"2750538"	1	0	1	0	0	0	0	0	0
"2079348"	1	0	0	1	0	0	0	1	0
"2791714"	1	0	0	1	0	0	0	1	0
"2078511"	0	0	0	0	0	1	0	0	1
"2747871"	1	0	1	0	0	0	0	0	1
"2784602"	1	0	0	1	1	0	0	0	1
"2084244"	1	0	0	0	0	1	0	0	1
"2040573"	1	0	1	0	0	0	0	0	0
